"TIG_PostNL::In seconds. After this time, temporary files will be deleted. Only increase this if you use custom functionality to create a very large amount of labels at once.","In seconds. After this time, temporary files will be deleted. Only increase this if you use custom functionality to create a very large amount of labels at once."
TIG_PostNL::Number of days before a confirmation expires,Number of days before a confirmation expires
TIG_PostNL::If a confirmed shipment has not been shipped after this amount of days it's confirmation will expire.,If a confirmed shipment has not been shipped after this amount of days it's confirmation will expire.
TIG_PostNL::Send extension usage statistics to PostNL,Send extension usage statistics to PostNL
TIG_PostNL::PostNL may periodically send important updates regarding new versions of the PostNL extension or important security updates in the same manner as Magento. Disable this setting to no longer ecieve these notifications.,PostNL may periodically send important updates regarding new versions of the PostNL extension or important security updates in the same manner as Magento. Disable this setting to no longer ecieve these notifications.
TIG_PostNL::Webservice versions,Webservice versions
TIG_PostNL::ShippingStatus webservice version,ShippingStatus webservice version
TIG_PostNL::Confirming webservice version,Confirming webservice version
TIG_PostNL::Labelling webservice version,Labelling webservice version
TIG_PostNL::Barcode webservice version,Barcode webservice version
TIG_PostNL::Checkout webservice version,Checkout webservice version
TIG_PostNL::PostNL Track & Trace Email,PostNL Track & Trace Email
TIG_PostNL::Unable to set Payment Method.,Unable to set Payment Method.
"TIG_PostNL::An error occurred while processing your order. Please try again. if this problem persists, please contact the webshop owner.","An error occurred while processing your order. Please try again. if this problem persists, please contact the webshop owner."
TIG_PostNL::Your order has been cancelled. Please try again.,Your order has been cancelled. Please try again.
TIG_PostNL::The customer left the following remark:,The customer left the following remark:
TIG_PostNL::Unfortunately the checkout process cannot be finished. Please try again.,Unfortunately the checkout process cannot be finished. Please try again.
TIG_PostNL::Unfortunately no PostNL Checkout order could be found. Please try again.,Unfortunately no PostNL Checkout order could be found. Please try again.
TIG_PostNL::It seems your cart has been changed since you started the checkout process. Please try again.,It seems your cart has been changed since you started the checkout process. Please try again.
TIG_PostNL::Please select a shipment.,Please select a shipment.
TIG_PostNL::An error occurred while processing this action:,An error occurred while processing this action:
TIG_PostNL::Please select a shipment.,Please select a shipment.
TIG_PostNL::The shipment has been successfully confirmed,The shipment has been successfully confirmed
TIG_PostNL::Shipment not found,Shipment not found
TIG_PostNL::The track & trace email was sent.,The track & trace email was sent.
TIG_PostNL::Please select one or more orders.,Please select one or more orders.
TIG_PostNL::An error occurred whilst creating processing the shipment(s):,An error occurred whilst creating processing the shipment(s):
TIG_PostNL::The shipments were successfully created.,The shipments were successfully created.
TIG_PostNL::Please select one or more shipments.,Please select one or more shipments.
TIG_PostNL::You can print a maximum of 200 labels at once.,You can print a maximum of 200 labels at once.
TIG_PostNL::The shipments have been confirmed successfully.,The shipments have been confirmed successfully.
TIG_PostNL::Order #%s cannot be shipped at this time.,Order #%s cannot be shipped at this time.
TIG_PostNL::PostNL replied with the following warning(s):,PostNL replied with the following warning(s):
